GOV.UK homepage,,,,,
,Entering and staying in the UK,,,,
,,Travel and identity documents for foreign nationals,,,
,,Immigration offences,,,
,,,Immigration penalties,,
,,,Immigration detention,,
,,,"Deportation, removals and curtailment",,
,,Immigration adviser services,,,
,,Rights of foreign nationals in the UK,,,
,,,Right to rent in the UK,,
,,,Foreign nationals working in the UK,,
,,,Rights of EU and EEA citizens,,
,,,Rights of nationals from outside the EU and EEA,,
,,Visas and immigration corporate,,,
,,Border control,,,
,,Immigration rules,,,
,,"Refugees, asylum and human rights",,,
,,,Asylum for children,,
,,,Asylum decisions and appeals,,
,,,"Refugee, asylum and human rights claims",,
,,,Support for asylum claimants and refugees,,
,,Visas and entry clearance,,,
,,,Visa applications,,
,,,Visa refusals and appeals,,
,,,Family visas,,
,,,Student visas,,
,,,Tuberculosis (TB) testing,,
,,,Visa sponsorship,,
,,,Visa application centres,,
,,,Visit and transit visas,,
,,,Work and investor visas,,
,,Permanent stay in the UK,,,
,,,Settlement,,
,,,Citizenship,,
,,"Inspections of border, immigration and asylum services",,,
,Going and being abroad,,,,
,,Travel abroad,,,
,,Passports,,,
,,British nationals overseas,,,
,,Living abroad,,,
,"Education, training and skills",,,,
,,"Further and higher education, skills and vocational training",,,
,,,T levels,,
,,,Learning Records Service (LRS),,
,,,Running a further or higher education institution,,
,,,Further education financial management and data collection,,
,,,,Financial management for further education providers,
,,,,Local authority further education financial reporting and assurance,
,,,,Data collection for further education providers,
,,,Further and higher education courses and qualifications,,
,,,,Principal learning qualifications,
,,,,Functional skills,
,,,Careers guidance in further and higher education,,
,,,Adult and community learning,,
,,,"Apprenticeships, traineeships and internships",,
,,,,Types of apprenticeships,
,,,,Hiring and training an intern or trainee,
,,,,Becoming an apprentice,
,,,,Hiring and training an apprentice,
,,,,Becoming an intern or trainee,
,,,Education in prisons,,
,,,Further education funding,,
,,,,Adult education funding,
,,,,Apprenticeships funding,
,,,,Further education buildings and land,
,,,,European Social Fund (ESF) and skills funding,
,,,,Free meals for 16 to 18 year olds,
,,,,Further education funding data,
,,,,Dance and drama funding for 16 to 19 year olds,
,,,,Administering student funding,
,,"Pupil wellbeing, behaviour and attendance",,,
,,,Safeguarding pupils,,
,,,Alternative provision and pupil referral units,,
,,,School bullying,,
,,,"Health, safety and wellbeing in schools",,
,,,School attendance and absence,,
,,,School discipline and exclusions,,
,,Teaching and leadership,,,
,,,Teacher records,,
,,,"Teacher pay, pensions and conditions",,
,,,"Recruiting, inducting and managing teachers",,
,,,Teacher training and professional development,,
,,,,Qualified Teacher Status (QTS),
,,,,Initial Teacher Training (ITT),
,,,,School leadership,
,,,"Teaching standards, misconduct and practice",,
,,Inspections and performance of education providers,,,
,,,Inspection and performance of further education providers,,
,,,,Inspection of residential provision in further education colleges,
,,,,Further education intervention notices and reports,
,,,,Further education provider performance measures,
,,,,Student performance in further education,
,,,,Inspection of further education and skills providers,
,,,,Performance data and Ofsted reports of further education providers,
,,,Inspection and performance of schools,,
,,,,Inspection of non-maintained schools,
,,,,Pupil performance in schools,
,,,,School intervention notices and reports,
,,,,Inspection of independent schools,
,,,,School performance measures,
,,,,Inspection of British schools overseas,
,,,,Inspection of maintained schools and academies,
,,,,Inspection of boarding and residential schools,
,,,,School performance tables and Ofsted reports,
,,,,Inspection of local authority support for schools,
,,Education of disadvantaged children,,,
,,Starting and attending school,,,
,,,Home schooling,,
,,,Dealing with problems at school,,
,,,Help with school costs,,
,,,Sending a child to school,,
,,Running and managing a school,,,
,,,School-to-school support,,
,,,Recruiting and managing non-teaching school staff,,
,,,Careers guidance in schools,,
,,,School admissions,,
,,,School trips and extracurricular activity,,
,,,School complaints and whistleblowing,,
,,,Setting up or changing the status of a school,,
,,,,Set up and develop a multi-academy trust (MAT),
,,,,Set up a free school,
,,,,Set up or convert to an academy,
,,,"School food, accommodation, transport and uniform",,
,,,School planning,,
,,,School governance,,
,,,School buildings and land,,
,,,,School buildings and land guidelines,
,,,,School buildings and land transactions,
,,,,School places,
,,,Data collection and censuses for schools,,
,,,,School workforce censuses,
,,,,School preference and admission appeals data collection,
,,,,School censuses and school-level annual school censuses (SLASC),
,,,,Phonics screening checks,
,,,,Key stage 1 and 2 assessments data collection,
,,,,General hospital school censuses,
,,,,School exclusion reviews,
,,,,Special educational needs surveys,
,,,,Alternative provision censuses,
,,,,Parental responsibility measures attendance censuses,
,,,,School capacity surveys,
,,School and academy financial management and assurance,,,
,,,Local authority schools financial reporting and assurance,,
,,,Academy and academy trust finance and reporting,,
,,,School procurement,,
,,,"Financial management, reporting and assurances for 16 to 19 year olds funding",,
,,Funding and finance for students,,,
,,,Student loans,,
,,,Financial help for students who are parents or carers,,
,,,"Student grants, bursaries and scholarships",,
,,School curriculum,,,
,,,Exam regulation and administration,,
,,,Key stage 5 (AS and A Levels),,
,,,,"Key stage 5 exam marking, qualifications and results",
,,,,AS and A level changes and reforms,
,,,,AS and A level subject content and requirements,
,,,"Personal, social, health and economic education",,
,,,"Secondary curriculum, key stage 3 and key stage 4 (GCSEs)",,
,,,,GCSE subject content and requirements,
,,,,"Key stage 3 and 4 exam marking, qualifications and results",
,,,,GCSE changes and reforms,
,,,Early years curriculum,,
,,,"Spiritual, moral, social and cultural development",,
,,,"Primary curriculum, key stage 2",,
,,,,Tests and assessments (key stage 2),
,,,,English (key stage 2),
,,,,Science (key stage 2),
,,,,Maths (key stage 2),
,,,,Programmes of study (key stage 2),
,,,"Primary curriculum, key stage 1",,
,,,,Tests and assessments (key stage 1),
,,,,Phonics,
,,,,Maths (key stage 1),
,,,,Science (key stage 1),
,,,,Programmes of study (key stage 1),
,,Special educational needs and disability (SEND) and high needs,,,
,,,Funding for special educational needs and disability (SEND),,
,,,Funding for high needs,,
,,,Support for special educational needs and disability (SEND) ,,
,,School and academy funding,,,
,,,Initial Teacher Training funding,,
,,,,School Direct funding,
,,,,Subject Knowledge Enhancement (SKE) funding,
,,,Schools forums,,
,,,Pupil premium and other school premiums ,,
,,,Funding for school buildings and land,,
,,,Free school meals (FSM) funding ,,
,,,Funding for different types of schools and settings,,
,,,,Academy funding,
,,,,Early years funding,
,,,,Funding for 16 to 19 year olds in schools,
,,,,Local authority schools funding,
,,,,Alternative provision funding,
,,,,Special schools funding,
,,,Funding for school places,,
,"Parenting, childcare and children's services ",,,,
,,"Divorce, separation and legal issues",,,
,,,Child custody,,
,,,Disagreements about parentage,,
,,,Child maintenance,,
,,Childcare and early years,,,
,,,Local authorities and early years,,
,,,Finding childcare,,
,,,Providing childcare,,
,,,,Funding and finance for childcare providers,
,,,,"Children's centres, childminders, pre-schools and nurseries",
,,,,Performance and inspection of childcare providers,
,,,,Recruiting and managing early years staff,
,,,,Becoming a childcare provider,
,,,,Early years curriculum (0 to 5),
,,,Data collection for early years and childcare,,
,,,,Early years census,
,,,,Early years foundation stage profile return,
,,Financial help if you have children,,,
,,,Financial help if you have a disabled child,,
,,,Child benefit,,
,,,Financial help when having a baby,,
,,,Tax credits if you have children,,
,,,Savings accounts for children,,
,,,Financial help if you're a student with children,,
,,,Financial support for childcare,,
,,"Adoption, fostering and surrogacy",,,
,,,Adoption,,
,,,Intercountry adoption,,
,,,Fostering,,
,,,Special guardianship,,
,,,Surrogacy,,
,,Children's health and welfare,,,
,,,Children's health,,
,,,Support for children with special educational needs and disabilities (SEND),,
,,,Children's rights,,
,,,Mental health of children and young people,,
,,,Help for children with a long-term illness or disability,,
,,,Child poverty,,
,,Youth employment and social issues,,,
,,Pregnancy and birth,,,
,,,Register the birth of a child,,
,,,Working and time off when you're having a baby,,
,,Safeguarding and social care for children,,,
,,,Child and family social work,,
,,,Safeguarding and child protection,,
,,,,Data collection for safeguarding and child protection,
,,,,Child abduction and cross-border child protection,
,,,,Serious case reviews,
,,,,"Refugee, runaway and homeless children",
,,,,"Preventing neglect, abuse and exploitation",
,,,Looked-after children and children in care,,
,,,,"Health, wellbeing and education of looked-after children",
,,,,Data collection for looked-after children,
,,,,Children's homes and other accommodation,
,,,,Children and young people leaving care,
,,,Children's social care providers,,
,,,,Becoming a children's social care provider,
,,,,Social care provider complaints,
,,,,Inspection of children's social care providers,
,,,,,Inspections of fostering and adoption agencies
,,,,,Inspections of local authority children's services
,,,,,Children's homes and other residential care inspections
,,,,,"Incidents, concerns and feedback about children's social care providers"
,Corporate information,,,,
,Transport,,,,
,,Transport modelling and appraisal,,,
,,Transport accessibility and mobility,,,
,,,Taxi and private hire accessibility,,
,,,Mobility scooters and wheelchairs,,
,,,Blue badges,,
,,,Help on public transport,,
,,Rail,,,
,,,Rail ticketing and fares,,
,,,Rail stations,,
,,,Crossrail,,
,,,Rail accessibility,,
,,,Rail network,,
,,,Rail infrastructure,,
,,,Rail interoperability,,
,,,Rail passenger experience,,
,,,Rail safety and security,,
,,,Rail franchising,,
,,,,Rail franchise procurement,
,,,,Rail franchise public register,
,,,HS2,,
,,,,HS2 archaeology,
,,,,HS2 and the environment,
,,,,HS2 corporate,
,,,,HS2 property,
,,,,HS2 business case,
,,,,HS2 construction and engineering,
,,,,HS2 supply chain,
,,,,HS2 stations,
,,,,HS2 stakeholder and community engagement,
,,,,HS2 design,
,,,,HS2 additional provisions,
,,,,HS2 legislation,
,,,,HS2 costs,
,,,,HS2 Phase Two,
,,,,,HS2 Phase 2b
,,,,,HS2 Phase 2a
,,,,HS2 Phase One,
,,,,HS2 planning,
,,,Community rail,,
,,,Rail network and the environment,,
,,,Rolling stock (passenger trains),,
,,,Rail accidents and serious incidents,,
,,Transport planning,,,
,,Transport security,,,
,,Corporate and operational information (transport),,,
,,Driving and road transport,,,
,,,Vans and minibuses,,
,,,Cycling and walking,,
,,,Autonomous road vehicles,,
,,,"Vehicle ownership, approval and standards",,
,,,,Driver and vehicle record,
,,,,Vehicle import and export,
,,,,Vehicle tax,
,,,,Vehicle insurance,
,,,,MOTs,
,,,,,"Lorry, bus and trailer MOT tests"
,,,,,"Car, motorcycle and van MOT tests"
,,,,Vehicle manufacturing and modification,
,,,,Vehicle recalls,
,,,,HGV standards and checks,
,,,,"Vehicle registration, log books and number plates",
,,,,PSV standards and checks,
,,,,"Buying, selling, registering and scrapping a vehicle",
,,,Driving and motorcycle tests,,
,,,,Motorcycle training,
,,,,Theory tests,
,,,,"Lorry, bus, coach and specialist vehicle driving tests",
,,,,Car driving tests,
,,,,Motorcycle and moped tests,
,,,Driving licences,,
,,,,Personal driving licence information,
,,,,Driving licence categories,
,,,,Foreign driving licences,
,,,,Driving abroad,
,,,,Driving licences and medical conditions,
,,,,Driving licence applications and renewals,
,,,"Road safety, driving rules and penalties",,
,,,,Driving and medical conditions,
,,,,Driving and mobile phones,
,,,,Seat belts,
,,,,Speeding,
,,,,"Penalty points, fines and driving bans",
,,,,Towing,
,,,,Drivers' hours,
,,,,Drink and drug driving,
,,,,Road accidents and serious accidents,
,,,Driving instruction and driving lessons,,
,,,,Driving examination,
,,,,"Driving, motorcycle and LGV instructor qualification process",
,,,,Professional development for driving and motorcycle instructors,
,,,,Driving instructor registration and renewals,
,,,"Professional driving of lorries, buses and coaches",,
,,,,EU and international driving rules,
,,,,Tachographs,
,,,,Driver CPC training,
,,,Transport businesses and vehicle operator licences,,
,,,,Fleet management,
,,,,Driver CPC training centres,
,,,,Vehicle operator licences,
,,,,,Public service vehicles licensing
,,,,,HGV and goods carriage vehicle licensing
,,,,,Taxi and private hire vehicle licensing
,,,,Employing drivers,
,,,Road transport and the environment,,
,,,,Renewable fuels,
,,,,Low emission and electric vehicles,
,,,,Road transport emissions,
,,,Road traffic,,
,,Freight and cargo,,,
,,,Transporting abnormal loads,,
,,,Road freight,,
,,,Rail freight and cargo,,
,,,Transporting dangerous goods,,
,,,,Safe transport of dangerous goods by road and rail,
,,,,Safe transport of dangerous goods by sea,
,,,Vessel cargo,,
,,Road infrastructure,,,
,,,Road maintenance,,
,,,Animals on roads,,
,,,Advice for drivers,,
,,,Roads and the environment,,
,,,Smart motorways,,
,,,Parking,,
,,,"Traffic signs, signals and markings",,
,,,Speed limits and traffic cameras,,
,,,Road tolls and charges,,
,,,Road improvement and investment,,
,,,,Major roads,
,,,,Motorways,
,,,,Local roads,
,,,,Making roads safer,
,,,,Road resurfacing,
,,,Road works and street works,,
,,,,Road closures,
,,,,Weekend closures,
,,,,Planned roadworks,
,,,,Overnight works,
,,,,Property affected by roadworks and street works,
,,Careers in transport,,,
,,Maritime and shipping,,,
,,,UK sea passengers,,
,,,Maritime passenger rights,,
,,,Waterways (maritime),,
,,,Maritime security,,
,,,Vessel surveys and inspection,,
,,,Fishing,,
,,,Maritime enforcement and prosecution,,
,,,"Seafarer management, training and certification",,
,,,,Employment of seafarers,
,,,,Ship crew training and certification,
,,,,Ship crew health and safety,
,,,Wrecks,,
,,,Coastguard search and rescue,,
,,,Maritime navigation,,
,,,Maritime and the environment,,
,,,Maritime safety,,
,,,,Safe and compliant operation of vessels,
,,,,Life saving appliances (LSA),
,,,"Ports, harbours and offshore installations",,
,,,Vessel registration and design,,
,,,,Vessel design,
,,,,Vessel registration,
,,,,Ship equipment,
,,,Maritime accidents and serious incidents,,
,,Aviation,,,
,,,Air routes,,
,,,Aviation passenger experience,,
,,,Air passenger duty,,
,,,Aviation and Europe,,
,,,Night flights,,
,,,New aviation technology,,
,,,,Drones,
,,,,Spaceflight,
,,,Surface access to airports,,
,,,Airport capacity and expansion,,
,,,Aviation and the environment,,
,,,Aviation safety and security,,
,,,Air navigation,,
,,,Air accidents and serious incidents,,
,,,General aviation,,
,,Local transport,,,
,,,Inland waterways,,
,,,Travel passes and concessions,,
,,,Light rail and trams,,
,,,Local transport funding,,
,,,Buses,,
,,,,Buses and the environment,
,,,,Bus operators,
,,,,Bus passenger experience,
,,,,Improvements to buses,
,,,,Bus accessibility,
,,,,"Bus services, routes and timetables",
,,,Tube,,
,Environment,,,,
,,Environmental permits,,,
,,Water industry,,,
,,,Discharge water,,
,,,Impound (store) water,,
,,,Abstract (take) water,,
,,,Water quality,,
,,,Drought and water availability,,
,,,Water and sewerage services,,
,,Climate change and energy,,,
,,,Energy infrastructure,,
,,,Emissions and emissions trading,,
,,,Energy efficiency,,
,,,Energy security,,
,,,Low carbon technologies,,
,,,Energy and climate change: evidence and analysis,,
,,,Greenhouse gas emissions,,
,,,Climate change international action,,
,,,Climate change adaptation,,
,,,Hydropower,,
,,Rural and countryside,,,
,,,Boats and waterways,,
,,,Countryside,,
,,,,Access to the countryside,
,,,,"Parks, trails and nature reserves",
,,,Forests and woodland,,
,,,Rural development and land management,,
,,,,Commons and greens,
,,,,Pollution,
,,,,Protected sites,
,,,,"Weeds and invasive, non-native plants",
,,,,Hedgerows,
,,,,Farming,
,,,,Contaminated land,
,,,,Economic growth in rural areas,
,,,,Rural economy and community,
,,Pollution and environmental quality,,,
,,"River maintenance, flooding and coastal erosion",,,
,,"Wildlife, animals, biodiversity and ecosystems",,,
,,,Biodiversity and ecosystems,,
,,,Wildlife and animal welfare,,
,,,Animal and plant health,,
,,,Protected sites and species,,
,,,,Marine sites and species,
,,,,Land sites,
,,,,Land species,
,,,Wildlife and habitat conservation,,
,,,,Birds,
,,,,Fish and shellfish,
,,,,Plants,
,,,,Invertebrates,
,,,,Reptiles and amphibians,
,,,,Mammals,
,,,Pets,,
,,,Animal welfare,,
,,"Commercial fishing, fisheries and vessels",,,
,,,"Fishing regulations, monitoring and enforcement",,
,,,,Catch Quota Trials,
,,,,First sale marine fish,
,,,,Fisheries statistics,
,,,,Sales notes and electronic recording systems,
,,,,Fishing quota and catch limits ,
,,,Fisheries funding,,
,,,Fishing vessels,,
,,,,Vessel and crew safety and certification,
,,,,Vessel surveys and inspections,
,,,,Vessel licensing,
,,,,Vessel monitoring systems,
,,,,Vessel licensing and lists,
,,,Marine fisheries,,
,,,Freshwater fisheries,,
,,"Oil, gas and coal",,,
,,,Oil spills,,
,,,Oil and gas licensing,,
,,,Exploration and production,,
,,,Infrastructure and decommissioning,,
,,,Carbon capture and storage,,
,,,Oil and gas finance and taxation,,
,,,,Market values,
,,,,Tax and profits,
,,,Fields and wells,,
,,,Onshore oil and gas,,
,,,Coal,,
,,,,Mine water management,
,,,,Mining reports and data,
,,,,Property and development,
,,,,Mining permits and licences,
,,Waste and recycling,,,
,,,Waste and environmental impact,,
,,,Waste management,,
,,,Radioactive and nuclear substances and waste,,
,,Food and farming,,,
,,,Food and farming industry,,
,,,Common Agricultural Policy reform,,
,,,Keeping farmed animals,,
,,,,Cattle deaths,
,,,,Deer farming,
,,,,"Pig identification, registration and movements",
,,,,"Shows, fairs and markets",
,,,,Veterinary medicines,
,,,,Poultry registration,
,,,,"Sheep and goats identification, registration and movements",
,,,,Import and export of farmed animals,
,,,,"Cattle identification, registration and movements",
,,,,Reporting disease and disease outbreaks,
,,,,Bovine tuberculosis (bovine TB),
,,,Producing and distributing food,,
,,,,Crops and horticulture ,
,,,,Food labelling and safety,
,,,,"Import, export and distribution of food",
,,,,Meat production,
,,,,Dairy and milk production,
,,,,Sugar,
,,,,Egg production and marketing,
,,,Farming and food grants and payments,,
,,,,Intervention schemes,
,,,,Rural grants and payments,
,,,,,Basic Payment Scheme (BPS)
,,,,,Common Agricultural Policy (CAP) reform
,,,,,Cross-compliance
,,,,,Rural development
,,,,,Online applications and payments
,,,,,Countryside stewardship
,,,,School milk scheme,
,,,,Private storage aid,
,,Marine,,,
,,,Harbour orders,,
,,,Sea fishing,,
,,,Harbours,,
,,,Marine protection and wildlife,,
,,,Species protection and marine conservation,,
,,,Treasure and wrecks,,
,,,Marine licences,,
,,,Hydrography,,
,,,Marine planning,,
,,,Marine environment,,
,,Chemicals,,,
,,,F-gases and HCFCs,,
,,,Polychlorinated biphenyl (PCBs),,
,,,Mercury,,
,,,Contaminated land,,
,,,REACH regulations,,
,Welfare,,,,
,,Child Benefit,,,
,,,Support for families,,
,,,High Income Tax Charge,,
